Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Удовенко;Олег;Леонідович;Чоловік;15-02-1996;Фрілансер;селище Гребінка;шосе 411-ї батареї, буд. 376 кв. 71, Нетішин, 67765;+380 82 240 96 60;bshyian@example.org
Запорожець;Лілія;Андріївна;Жінка;07-10-1981;Паралегал;місто Борислав;узвіз Асташкіна, буд. 187 кв. 09, Старобільськ, 18835;069 078-19-58;vermenychtrokhym@example.org
Петлюра;Наталія;Миронівна;Жінка;17-02-1995;Економіст;хутір Вовчанськ;узвіз Оборони Ленінграду, буд. 126, Тернопіль, 13513;+380 81 495 07 65;avdieienkoheorhii@example.net
Фастенко;Юстина;Богуславівна;Жінка;01-06-1979;Філолог;місто Покров;узвіз 19-та Лінія, буд. 510 кв. 923, Теребовля, 44883;077-67-58;heorhii67@example.org
Ільченко;Опанас;Онисимович;Чоловік;07-04-1989;Доцент;селище Володимир-Волинський;набережна Кінна, буд. 3, Новий Буг, 36823;033 01 49;drozdenkokamilla@example.net
Хомик;Емілія;Андріївна;Жінка;02-04-1998;Будник;село Березівка;провулок Мельницька, буд. 9 кв. 46, Міусинськ, 46998;+380 97 445-41-96;kovpakspas@example.net
Ткаченко;Охрім;Соломонович;Чоловік;24-06-1979;Клавішник;селище Херсон;провулок Олександра Тимошенка, буд. 0 кв. 8, Городище , 55985;+380 27 811 94 92;miakymenko@example.net
Деревʼянко;Сергій;Ігнатович;Чоловік;23-06-1971;Маркетолог;село Мостиська;сквер Лінія 45-та, буд. 9, Семенівка, 49038;+380 (15) 528-99-59;ieva35@example.org
Андрощук;Оксенія;Дмитрівна;Жінка;25-08-1997;Краєзнавець;місто Соледар;парк Кришталевий, буд. 5, Нова Каховка, 07133;+380 77 475 54 32;solomonartemenko@example.com
Козаченко;Веніямин;Мартинович;Чоловік;06-08-1982;Краєзнавець;село Авдіївка;проспект Ланжеронівський узвіз, буд. 71, Миколаївка , 99970;+380 87 693 53 14;orkhyphupalo@example.net
Скорик;Климент;Хомович;Чоловік;16-09-1982;Клоун;село Пирятин;проспект Подільська, буд. 6, Кам'янка (Черкаська область), 39715;012 111 95 72;leon21@example.org
Ґереґа;Христина;Святославівна;Жінка;10-10-1998;Літературознавець;хутір Кам'янець-Подільський;вулиця Карантинна, буд. 85 кв. 1, Перещепине, 40646;+380 70 317-21-93;darynalevchenko@example.com
Даценко;Людмила;Олексівна;Жінка;27-05-1985;Актор;село Привілля;узвіз Бородінська, буд. 5 кв. 75, Хрестівка, 20638;+380 59 259 13 92;agoliash@example.com
Дробʼязко;Валентина;Бориславівна;Жінка;04-09-1971;Фармацевт;хутір Здолбунів;проспект Верф’яний, буд. 76, Чернігів, 96694;243-00-78;opanasvdovenko@example.com
Москаль;Аліна;Гордіївна;Жінка;18-01-1966;Музикант;селище Збараж;сквер Василя Стуса, буд. 48, Дніпро , 65807;+380 44 408-47-36;xarkhymovych@example.org
Демʼянчук;Пріска;Давидівна;Жінка;21-07-1960;Гірник;місто Харцизьк;узвіз 8-ма Суворовська, буд. 1, Рівне, 70615;+380 22 464-07-31;anzhelatalan@example.com
Стець;Теодор;Орестович;Чоловік;25-03-1982;Мінералог;село Сміла;парк Обільний 1-й, буд. 0, Первомайський , 50891;040 553 70 29;oleksazubko@example.org
